user_id,item_id,interaction
1,52,purchase
1,72,view
1,83,view
1,75,click
1,100,view
1,3,view
1,2,click
1,30,view
1,64,purchase
1,33,view
1,22,view
1,89,view
1,59,view
1,92,purchase
1,15,view
1,47,view
1,55,purchase
1,3,click
1,7,view
1,39,view
2,89,purchase
2,9,view
2,2,view
2,60,view
2,8,view
2,78,view
2,50,view
2,2,view
2,54,view
2,54,view
2,18,click
2,34,view
2,100,view
2,48,view
2,78,view
2,62,view
2,80,click
2,53,view
2,89,view
2,41,view
3,45,view
3,71,view
3,1,view
3,88,view
3,81,click
3,35,click
3,5,purchase
3,41,purchase
3,73,view
3,34,view
3,23,view
3,37,click
3,86,click
3,65,view
3,47,click
3,1,click
3,14,view
3,9,click
3,90,view
3,77,view
4,96,view
4,52,view
4,4,purchase
4,23,view
4,15,click
4,36,purchase
4,71,view
4,86,click
4,42,click
4,57,view
4,28,click
4,44,view
4,62,view
4,92,view
4,62,view
4,27,view
4,77,click
4,70,view
4,9,view
4,97,view
5,44,view
5,59,view
5,96,view
5,52,view
5,58,purchase
5,39,view
5,56,view
5,2,view
5,54,view
5,96,purchase
5,19,view
5,53,view
5,32,view
5,68,view
5,56,view
5,38,view
5,98,view
5,11,click
5,16,click
5,59,view
6,93,click
6,59,view
6,90,view
6,19,view
6,71,view
6,33,view
6,39,purchase
6,1,view
6,57,view
6,23,view
6,42,view
6,16,click
6,60,view
6,1,view
6,12,view
6,32,view
6,9,view
6,19,click
6,3,click
6,54,click
7,24,click
7,72,click
7,84,view
7,89,view
7,93,view
7,82,view
7,35,view
7,41,view
7,68,view
7,21,view
7,8,click
7,17,view
7,48,view
7,86,view
7,30,purchase
7,51,click
7,27,view
7,21,view
7,28,view
7,97,view
8,61,view
8,4,view
8,49,view
8,44,purchase
8,93,view
8,6,view
8,37,purchase
8,46,purchase
8,99,purchase
8,63,view
8,32,click
8,67,view
8,25,view
8,54,view
8,46,view
8,32,view
8,23,view
8,27,view
8,90,click
8,33,view
9,48,view
9,42,click
9,99,view
9,24,purchase
9,7,view
9,45,view
9,8,click
9,16,view
9,87,view
9,98,view
9,87,view
9,51,view
9,63,purchase
9,22,view
9,86,view
9,42,click
9,54,view
9,97,click
9,60,view
9,5,view
10,6,view
10,94,view
10,55,view
10,16,purchase
10,30,view
10,63,view
10,58,view
10,90,purchase
10,23,view
10,12,view
10,58,purchase
10,34,view
10,48,view
10,1,purchase
10,64,view
10,22,click
10,67,view
10,16,view
10,86,view
